,TickerID,Symbol,Name,Occurrence,Positive,Negative
354,925238925,AGTK,Agritek Holdings,1,0,1
355,913253431,OTEL,Otelco,1,1,0
356,913255587,VEON,VEON,1,1,0
357,913323563,ORBC,ORBCOMM,1,1,0
358,916040690,CEL,Cellcom Israel,1,1,0
359,925340912,PIXY,Shiftpixy,2,2,0
360,913253555,XELA,EXELA TECHNOLOGI,1,0,1
361,913246631,SPXS,Direxion Daily S&P 500® Bear 3X ETF,3,2,1
362,913255508,M,Macy's,26,15,11
363,925338008,NWEGF,Norwegian Finans,1,1,0
364,913273826,CANIX,Cannabis Growth Institutional,1,0,1
365,913323709,MCD,McDonalds,2,0,2
366,913324095,PCG,PG&E Us,3,2,1
367,913254364,RENN,Renren,2,1,1
368,913254216,AYRO,DropCar,6,4,2
369,913253348,CCCL,China Ceramics,7,5,2
370,925381877,HX,Hexindai,2,0,2
371,913255395,HPQ,HP Inc,1,1,0
372,913303742,XTNT,XTANT MEDICAL,6,1,5
373,913256106,ALJJ,ALJ REGIONAL,1,0,1
374,913323117,NNDM,Nano Dimension,5,2,3
375,916040696,PHUN,Phunware Inc,2,0,2
376,913324577,X,U. S. Steel,1,0,1
377,913254523,S,Sprint Corp,7,4,3
378,913255817,AGTC,AGTC,1,1,0
379,913323784,MNIQQ,McClatchy,1,0,1
380,913324495,UPS,UPS,1,0,1
381,913324572,WWE,WWE,1,0,1
382,913324606,NAV,Navistar Intl,2,2,0
383,913256223,ARAY,Accuray,2,1,1
384,913254992,AYI,Acuity Brands,1,0,1
385,913255289,FDX,FedEx,1,0,1
386,913323823,MSM,MSC Industrial,1,0,1
387,913256242,OPCH,Option Care Health Inc.,2,1,1
388,913255471,KSS,Kohls,2,0,2
389,913324118,PFE,Pfizer,1,0,1
390,913243222,XLE,Energy Select Sector SPDR® ETF,1,0,1
391,913255163,CVX,Chevron,1,0,1
392,925213942,NTRP,Neurotrope,1,1,0
393,913253344,LEDS,SemiLEDs,2,1,1
394,913253644,SNCA,Seneca Biopharma,2,2,0
395,913323655,IMBI,iMedia Brands,1,1,0
396,925409423,BTCUSD,BTC,4,1,3
397,925163605,RIOT,Riot Blockchain,12,8,4
398,925409426,XRPUSD,XRP,8,4,4
399,925409431,ETCUSD,ETC,10,4,6
400,950084520,ETCG,ETHEREUM CLASSIC,8,4,4
401,913253468,TACO,Del Taco,2,2,0
402,913262365,CM,CIBC,4,4,0
403,913253482,PHIO,Phio Pharmaceuticals Corp,3,3,0
404,913253683,CBLI,Cleveland Biolbs,3,3,0
405,913256199,AKRXQ,Akorn,5,4,1
406,913262246,BMO,BMO,3,3,0
407,913262257,BNS,Bank Nova,3,3,0
408,913262344,CHE.UN,Chemtrade Logis,3,3,0
409,913263299,NA,Natl Bk Canada,3,3,0
410,913263737,RY,RBC,3,3,0
411,913263990,TD,TD,3,3,0
412,913253466,ADMP,Adamis Pharma,1,1,0
413,913255683,VSTM,Verastem,1,1,0
414,913255996,KMPH,KemPharm,1,1,0
415,913303784,AIM,AIM ImmunoTech Inc,2,1,1
416,925283682,ZOM,Zomed Pharm,1,1,0
417,913254745,PRTY,Party Cty Holdco,4,2,2
418,925241998,NNDM,Nano Dimension,5,4,1
419,913253469,ALDX,Aldeyra,1,0,1
420,913254904,ABR,Arbor Realty Tr,2,2,0
421,925194271,JILL,J.Jill,1,0,1
422,913830678,EGO,Eldorado Gold,3,1,2
423,916040760,IAG,IAMGOLD Corp,1,0,1
424,916040771,AUY,Yamana Gold,6,4,2
425,913254649,WPG,WASHINGTON PRIME,3,1,2
426,913255068,CBL,CBL & Associates,1,1,0
427,913254810,YRD,Yiren Digital Ltd,1,1,0
428,913303902,TAT,TRANS PETROLEUM,6,5,1
429,913303755,APT,ALPHA PRO TECH,1,1,0
430,925195666,LLEX,Lilis Energy Inc,5,4,1
431,913255266,ET,Energy Transfer LP,4,3,1
432,913255627,RNET,RigNet,1,0,1
433,913324112,PEI,PREIT,2,1,1
434,913303779,GTE,GRAN TIERRA ENERGY,1,1,0
435,913303800,BRN,BARNWELL INDS,1,1,0
436,913323952,MIND,Mitcham Industri,1,1,0
437,913323255,TEVA,Teva Pharm Ind,2,1,1
438,913253561,CRBP,Corbus Pharms,4,2,2
439,913255896,ATRA,Atara Biotherapeutics Inc,1,1,0
440,913253673,GNSS,Genasys Inc.,2,2,0
441,913254837,BIO,Bio Rad,2,2,0
442,913256727,CYBE,CyberOptics,2,2,0
443,913323281,AZN,AstraZeneca,2,2,0
444,913323644,SPPI,Spectrum Pharma,2,2,0
445,913323757,VOD,Vodafone Group,2,2,0
446,913324222,FTNT,Fortinet,2,2,0
447,925293492,ALT,Altimmune,2,2,0
448,950063596,AQST,Aquestive Therapeutics,2,2,0
449,950145430,EH,EHang Holdings Ltd,2,2,0
450,913253389,CRDF,Cardiff Oncology Inc,1,1,0
451,913255511,MAC,Macerich,5,3,2
452,913323867,JBLU,JetBlue Airways,1,0,1
453,913255363,HAL,Halliburton,1,1,0
454,913255465,KO,Coca-Cola,7,6,1
455,913323854,PTEN,Patterson-UTI,1,1,0
456,913323886,NBR,Nabors Inds,2,2,0
457,913424717,UVXY,ProShares Ultra VIX Short-Term Futures,9,7,2
458,913244794,SDOW,ProShares UltraPro Short Dow30,2,2,0
459,925293281,EVIX,VelocityShares 1x Long VSTOXX Futs ETN,2,2,0
460,913243476,MLPQ,UBS ETRACS 2xMLvgAlerianMLPIfr ETN SerB,1,1,0
461,913254504,NRZ,New Residential,4,3,1
462,913255788,WIX,Wix.com,1,1,0
463,913255890,TERP,TerraForm Power,1,1,0
464,913256612,CME,CME Group,1,1,0
465,913324363,SPN,Superior Energy,1,1,0
466,916040738,WPM,WHEATON PRECIOUS,4,4,0
467,925418532,BILI,Bilibili,1,1,0
468,950056176,IIIV,i3 Verticals,1,1,0
469,913243229,XLK,Technology Select Sector SPDR® ETF,3,3,0
470,913243433,VOO,Vanguard S&P 500 ETF,3,3,0
471,913243989,VNQ,Vanguard Real Estate ETF,3,3,0
472,925305044,OGI,OrganiGram Hldg,3,3,0
473,913255369,HD,Home Depot,5,4,1
474,913255947,OCGN,Ocugen Inc,3,1,2
475,925339541,OPK,OPKO Health,1,1,0
476,925241196,CLSK,CleanSpark,8,4,4
477,950062042,PLTH,PLANET 13,1,0,1
478,913256103,RRR,Red Rock Resorts,1,0,1
479,913254528,STAY,EXTENDED STAY AM,4,1,3
480,913255201,DNR,Denbury Resource,4,1,3
481,913323378,ERIC,Ericsson,6,2,4
482,913257568,SPWR,SunPower,6,2,4
483,913323060,Z,Zillow Group,2,0,2
484,950165278,RPRX,Royalty Pharma plc,1,0,1
485,913256124,INO,Inovio Pharma,3,1,2
486,913323953,NOK,Nokia,2,1,1
487,950164871,VRM,"Vroom, Inc.",10,2,8
488,950053215,VTIQU,Nikola Corporation,2,1,1
489,925239443,DECN,Decision,4,1,3
490,925291522,ACB,Aurora Cannabis Inc,23,12,11
491,925247047,FBRX,Forte Biosciences Inc,25,20,5
492,913255344,GNW,Genworth Fincl,4,4,0
493,913324261,RF,Regions Fincl,4,4,0
494,913323550,TUESQ,Tuesday Mrng,1,0,1
495,913254484,COTY,Coty,7,5,2
496,913257497,SLGN,Silgan Hldg,2,0,2
497,913255865,AGRX,Agile,4,3,1
498,913255907,EARS,Auris Medical Holding Ltd,4,3,1
499,913253524,JAGX,Jaguar Health,5,5,0
500,913253490,BLFS,BioLife,1,0,1
501,913323428,RGEN,Repligen Corp,1,0,1
502,950052407,NMRD,Nemaura Medical Inc,1,0,1
503,950113446,CVET,Covetrus Inc,1,0,1
504,950131931,CSTL,Castle,1,0,1
505,913254417,YELP,Yelp,1,1,0
506,913254679,W,Wayfair,1,0,1
507,950095373,YETI,YETI Holdings,1,0,1
508,913247456,VXX,iPath® S&P 500 VIX ST Futures™ ETN,1,0,1
509,913256419,EBAY,eBay,2,0,2
510,913253746,EXAS,EXACT Sci,1,0,1
511,913324101,WDC,Western Digital,1,0,1
512,913256322,COHU,Cohu,2,1,1
513,913324044,CAR,Avis Budget Grp,1,0,1
514,913323734,MDT,Medtronic,2,0,2
515,913324214,ADUS,Addus Homecare,2,0,2
516,913324651,SEM,Select Mdcl Hldg,2,0,2
517,913254751,AXGT,Axovant Gene Therapies,1,0,1
518,913255145,CSL,Carlisle,1,0,1
519,913256420,FORM,FormFactor,1,0,1
520,925288173,BHVN,Biohaven Pharma,1,0,1
521,950052405,COCP,COCRYSTAL PHARMA,2,2,0
522,913253397,TRNX,Taronis Technologies Inc,6,3,3
523,925330912,SGBX,SG Blocks,1,0,1
524,913255185,DFODQ,Dean Foods,1,1,0
525,913303678,LODE,COMSTOCK MIN,1,1,0
526,913433588,OBLN,Obalon,1,1,0
527,913818664,TEUM,PARETEUM,1,1,0
528,913915241,LKSDQ,LSC Commns,1,1,0
529,925169644,GNMX,Aevi Genomic Med,1,1,0
530,916040664,NRTSF,NOBILIS HEALTH,1,1,0
531,925377113,MDB,MongoDB,1,0,1
532,913324077,MU,Micron Tech,1,0,1
533,950122946,WORK,Slack Technologies,2,1,1
534,913253775,UONEK,URBAN ONE,2,0,2
535,925415705,CRON,Cronos Group,1,0,1
536,925339167,MYO,Myomo,1,1,0
537,950052394,GNPX,Genprex Inc,1,0,1
538,913253629,SBPH,Spring Bk Pharms,1,1,0
539,913254180,NURO,NeuroMetrix,2,1,1
540,925344441,SNNAQ,Sienna,2,1,1
541,913430352,NTNX,Nutanix,1,1,0
542,913255991,RKDA,Arcadia,2,1,1
543,913303841,PTN,PALATIN TECH,1,0,1
544,913323750,MGM,MGM Resorts Intl,1,0,1
545,913255749,SFM,Sprouts Farmers,2,1,1
546,950088252,PHAS,PhaseBio Pharmaceuticals,1,0,1
547,913253439,HTBX,Heat Biologics,1,1,0
548,913254927,AHT,Ashford Hosp,1,1,0
549,913255018,BGG,Briggs,1,1,0
550,913324683,SDRL,Seadrill,1,1,0
551,925241798,GRNQ,Greenpro Capital,2,2,0
552,925418652,DNJR,Golden Bull,1,1,0
553,950056091,ECOR,Electrocore,1,1,0
554,925334627,ALRN,Aileron,1,1,0
555,913323591,NVAX,Novavax,1,1,0
556,913324463,TTI,TETRA,1,0,1
557,913324550,WM,Waste Mgmt,1,0,1
558,913430468,AEZS,Aeterna Zentaris,1,0,1
559,913254305,BAH,Booz Allen,1,0,1
560,913254444,RH,RH,1,0,1
561,913254473,ABBV,AbbVie,3,2,1
562,913254884,DDD,3D Systems,1,0,1
563,913255058,CAG,Conagra Brands,1,0,1
564,913255108,CLX,Clorox,1,0,1
565,913255122,COF,Capital One Fin,1,0,1
566,913255140,CRM,Salesforce.com,1,0,1
567,913255162,CVS,CVS Health,2,1,1
568,913255191,DHI,DR Horton,1,0,1
569,913255418,IEX,IDEX,1,0,1
570,913255681,ZNGA,Zynga,2,1,1
571,913255776,FEYE,FireEye,1,0,1
572,913256043,PYPL,PayPal,3,2,1
573,913256260,CDNS,Cadence Design,1,0,1
574,913256965,CHKP,Chk Pnt Sftwre,1,0,1
575,913257560,INTU,Intuit,1,0,1
576,913323359,ENIA,Enel Americas,1,0,1
577,913324114,PEP,PepsiCo,1,0,1
578,913324421,TGT,Target,8,3,5
579,925200015,AYX,Alteryx,2,1,1
